name,#vertices,#edges,#nonedges,k1,lowerbound1,upperbound1,perdiff1,time1,k2,lowerbound2,upperbound2,perdiff2,time2
1-FullIns_3,30,100,335,6,944,13292,92.90%,3600.075,8,441,8788,94.98%,3600.036
1-FullIns_4,93,593,3685,8,1129,1058886,99.89%,3601.489,10,,819855,,3600.091
1-Insertions_4,67,232,1979,8,410,273092,99.85%,3600.326,10,,208425,,3600.067
2-FullIns_3,52,201,1125,8,332,94570,99.65%,3600.134,10,,70852,,3600.018
2-Insertions_3,37,72,594,6,1307,32397,95.97%,3600.156,8,467,22102,97.89%,3600.068
2-Insertions_4,149,541,10485,6,2225,9850419,99.98%,3600.133,8,387,7253274,99.99%,3600.364
3-FullIns_3,80,346,2814,9,7,496542,100.00%,3600.354,12,,351111,,3600.014
3-Insertions_3,56,110,1430,6,2729,182212,98.50%,3600.406,8,509,129152,99.61%,3600.255
4-FullIns_3,114,541,5900,11,,1705424,,3600.025,14,,1289803,,3600.225
4-Insertions_3,79,156,2925,6,,,,,8,,,,
DSJC125_1,125,736,7750,8,,,,,10,,,,
DSJC125_5,125,3891,7750,26,,,,,34,,,,
DSJC125_9,125,6961,7750,66,,,,,88,,,,
anna,138,986,8960,17,,,,,22,,,,
david,87,812,3335,17,,,,,22,,,,
games120,120,1276,6502,14,,,,,18,,,,
huck,74,602,2400,17,,,,,22,,,,
jean,80,508,2906,15,,,,,20,,,,
miles1000,128,6432,4912,63,,,,,84,,,,
miles1500,128,10396,2930,110,,,,,156,,,,
miles250,128,774,7741,12,,,,,16,,,,
miles500,128,2340,6958,30,,,,,40,,,,
miles750,128,4226,6015,47,,,,,62,,,,
mug100_1,100,166,4784,6,,,,,8,,,,
mug100_25,100,166,4784,6,,,,,8,,,,
mug88_1,88,146,3682,6,,,,,8,,,,
mug88_25,88,146,3682,6,,,,,8,,,,
myciel3,11,20,35,6,,,,,8,,,,
myciel4,23,71,182,8,,,,,10,,,,
myciel5,47,236,845,9,,,,,12,,,,
myciel6,95,755,3710,11,,,,,14,,,,
queen10_10,100,2940,3480,17,,,,,22,,,,
queen11_11,121,3960,5280,17,,,,,22,,,,
queen12_12,144,5192,7700,18,,,,,24,,,,
queen5_5,25,320,140,8,,,,,10,,,,
queen6_6,36,580,340,11,,,,,14,,,,
queen7_7,49,952,700,11,,,,,14,,,,
queen8_12,96,2736,3192,18,,,,,24,,,,
queen8_8,64,1456,1288,14,,,,,18,,,,
queen9_9,81,2112,2184,15,,,,,20,,,,
